"e-9541-text","mMx2LUixlnN_Fu45JpFB src","e-9541-text 2","e-9541-text 3","e-9541-text href","e-9541-text 4","standalone-ellipsis-one-line","standalone-ellipsis-one-line href","e-9541-text 5","e-9541-text 6","e-9541-text 7","e-9541-text href 2","SgFtsvn3upY_tG6mnt4n"
"1","https://i.scdn.co/image/ab67616d00004851723f2575f85a9a1f6a93f4bf","Baby (Is it a Crime)","Rema","https://open.spotify.com/artist/46pWGuE3dSwY3bMMXGBvVS","3,368,455","Baby (Is it a Crime)","https://open.spotify.com/album/6UyYWiOrIJMlccE1DmNRHK","2:44","","","",""
"2","https://i.scdn.co/image/ab67616d0000485178a03d7f7d7afe1a6ba4d097","PITY THIS BOY (with Victony)","ODUMODUBLVCK","https://open.spotify.com/artist/3LOm0AZjpwVQebvkyanjDy","2,702,276","PITY THIS BOY","https://open.spotify.com/album/60XSboTgnZCbxyMfje4CPk","2:45",",","Victony","https://open.spotify.com/artist/1E5hfn5BduN2nnoZCJmUVG",""
"3","https://i.scdn.co/image/ab67616d00004851b9ee255fde0d1cdca6f4eaaa","Joy is Coming","Fido","https://open.spotify.com/artist/5HmfRnwYc5vNyWxRfP9U74","1,671,261","Joy is Coming","https://open.spotify.com/album/7lD2tdR4j3v24wl6iSr85q","3:08","","","",""
"4","https://i.scdn.co/image/ab67616d0000485140b4431385d83047ff4d78c1","Funds (feat. ODUMODUBLVCK & Chike)","Davido","https://open.spotify.com/artist/0Y3agQaa6g2r0YmHPOO9rh","1,062,359","Funds (feat. ODUMODUBLVCK & Chike)","https://open.spotify.com/album/5xU7RFIfd0tCDXt3iu0NET","3:26",", ,","ODUMODUBLVCK","https://open.spotify.com/artist/3LOm0AZjpwVQebvkyanjDy",""
"5","https://i.scdn.co/image/ab67616d000048518733f2e8a1db14bd2f9e9033","Venus","Faceless","https://open.spotify.com/artist/4kwkSF1jJalibmNlh4Z8Of","995,754","Venus","https://open.spotify.com/album/6VbLBFjsXbH8AP3MIgqB2n","2:19",",","Serøtonin","https://open.spotify.com/artist/2WBBOY2ru2VV81lWHw6lzp",""
"6","https://i.scdn.co/image/ab67616d00004851a5d282e7e725c238a1fb9f2f","Awolowo","Fido","https://open.spotify.com/artist/5HmfRnwYc5vNyWxRfP9U74","918,797","Awolowo","https://open.spotify.com/album/5BRKHZh6Y0voiEQ4YsGdCr","2:15","","","",""
"7","https://i.scdn.co/image/ab67616d00004851ae04d6eab9b8583af1ad26c3","Chandelier","Monaky","https://open.spotify.com/artist/3pUdWI84GUyM40TiEKXR6Q","883,452","Candor","https://open.spotify.com/album/64xu08Nyn29jPEZldUigVB","2:55","","","",""
"8","https://i.scdn.co/image/ab67616d000048515e9b08109120e18c41a7b3e2","Kese (Dance)","Wizkid","https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp","796,717","Morayo","https://open.spotify.com/album/3dLXfyaG1kYeSQknLs2LP1","2:54","","","",""
"9","https://i.scdn.co/image/ab67616d000048514ab6fa9672b3b4b25f8e7657","Pxy Drip","Naira Marley","https://open.spotify.com/artist/5DfaMudUwkoz6TAPYifqkJ","773,185","Pxy Drip","https://open.spotify.com/album/3xIa0k3KbEemfPcrF30nOd","2:29","","","","E"
"10","https://i.scdn.co/image/ab67616d00004851b54e16ded272e0223b1427e0","JUJU (feat. Shallipopi)","Smur Lee","https://open.spotify.com/artist/5jF4VfE2TZtAXWYQLe3F8A","742,371","JUJU (feat. Shallipopi)","https://open.spotify.com/album/6xtWvj11zaodhnfa7izxCL","2:37",", ,","ODUMODUBLVCK","https://open.spotify.com/artist/3LOm0AZjpwVQebvkyanjDy","E"
