Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Joy Is Coming,Fido,7,716637,-0.18%,https://www.youtube.com/watch?v=9jO84E3QQM4
2,3,Favour,Lawrence Oyor,4,390381,0.12%,https://www.youtube.com/watch?v=hNEghsp78Nc
3,2,Funds (feat. ODUMODUBLVCK & Chike),Davido,9,375940,0.02%,https://www.youtube.com/watch?v=7adDm9YACpE
4,4,Pxy Drip,Naira Marley,8,364802,0.06%,https://www.youtube.com/watch?v=2bnIOkj9AMw
5,5,APT.,ROSÉ & Bruno Mars,16,238335,-0.04%,https://www.youtube.com/watch?v=ekr2nIex040
6,7,Die With A Smile,Lady Gaga & Bruno Mars,25,212041,0.08%,https://www.youtube.com/watch?v=kPa7bsKwL-c
7,11,Tshwala Bam (feat. S.N.E & EeQue), TitoM &  Yuppe,49,167931,0.07%,https://www.youtube.com/watch?v=KK4dC7rASYs
8,8,Relationship,Berri-Tiga & Peruzzi,10,167217,-0.13%,https://www.youtube.com/watch?v=zOWdcggbvss
9,10,Toma Toma,Ruger & Tiwa Savage,12,159576,-0.03%,https://www.youtube.com/watch?v=l3zvl_yDX4M
10,n/a,Sober,Yung Alpha & Davido,1,157929,n/a,https://www.youtube.com/watch?v=CXRaxPdu2D8
11,n/a,Not Like Us,Kendrick Lamar,23,155414,n/a,https://www.youtube.com/watch?v=H58vbez_m4E
12,9,Kese (Dance),Wizkid,12,151437,-0.17%,https://www.youtube.com/watch?v=0RqFeZDw4Hc
13,62,Love Me JeJe,Tems,23,143652,1%,https://www.youtube.com/watch?v=Y_NTooezadU
14,13,Residuals,Chris Brown,2,137685,-0.06%,https://www.youtube.com/watch?v=N6i1SeRmKL0
15,15,Ogechi (Remix) (feat. Davido),BoyPee & Hyce  & Brown Joel,37,134769,0%,https://www.youtube.com/watch?v=ukSewaXAC5M
16,14,who does that? (feat. Bella Shmurda),FOLA,9,133843,-0.06%,https://www.youtube.com/watch?v=KJXn2aoRJd8
17,16,Bundle By Bundle,Burna Boy,8,129255,-0.04%,https://www.youtube.com/watch?v=MLLm8Okhllg
18,n/a,So it Goes,Black Sherif & Fireboy DML,1,126538,n/a,https://www.youtube.com/watch?v=6j98e5mWNaw
19,27,JUJU (feat. Shallipopi),Smur Lee & ODUMODUBLVCK,24,125243,0.13%,https://www.youtube.com/watch?v=4bfJKzi5vw0
20,32,OZEBA,Rema,31,122591,0.19%,https://www.youtube.com/watch?v=CAyD5xr1yGY
21,24,Truth In The Lies,Central Cee & Lil Durk,2,121388,0.05%,https://www.youtube.com/watch?v=BOBS4eEAAVs
22,26,MMS,Asake & Wizkid,26,121252,0.09%,https://www.youtube.com/watch?v=iiOHqmmjdGk
23,20,Dealer,Ayo Maff & Fireboy DML,42,118235,0%,https://www.youtube.com/watch?v=JUWxpWD71VA
24,23,We Move,Mercy Chinwo,17,117704,0.01%,https://www.youtube.com/watch?v=oE8BMhFP7eo
25,21,Alone (feat. Bhadboi Oml),FOLA,27,114000,-0.02%,https://www.youtube.com/watch?v=MNf2swk4o8c
26,25,Give Me Chance,Bidemi Olaoba & Mercy Chinwo,30,112965,0%,https://www.youtube.com/watch?v=QglhoVz5ank
27,29,Hmmm (feat. Davido),Chris Brown,44,112243,0.06%,https://www.youtube.com/watch?v=zMlDG1E2xSU
28,n/a,Love Hangover (feat. Dominic Fike),JENNIE,1,112018,n/a,https://www.youtube.com/watch?v=23urWKmHS6o
29,22,Favourite Girl,Darkoo & Dess Dior,26,111421,-0.05%,https://www.youtube.com/watch?v=xSaBe60hBLU
30,28,BENIN BOYS,Rema & Shallipopi,32,111330,0.03%,https://www.youtube.com/watch?v=eYsldLTYyrM
31,39,Double,Kizz Daniel,31,107109,0.11%,https://www.youtube.com/watch?v=VwcY7PwFvMc
32,6,Jo Vibe (Remix),Joblaq & Zinoleesky,3,105352,-0.48%,https://www.youtube.com/watch?v=3CZggAqy0UM
33,31,HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON,11,103742,0%,https://www.youtube.com/watch?v=fLi0EJfi_vg
34,n/a,Military,Asake,1,103700,n/a,https://www.youtube.com/watch?v=GVE9G5CiLbs
35,33,HAUSAPIANO (Remix),Kvng Vinci & Zerrydl,14,103377,0.01%,https://www.youtube.com/watch?v=QmKW6uUnfJ0
36,37,Mai Kishina,SadiQ Saleh,22,102292,0.06%,https://www.youtube.com/watch?v=1tn8vcSPe70
37,55,Money,Teni,2,102008,0.32%,https://www.youtube.com/watch?v=ge6f1f94FLI
38,40,Ojoro (feat. Clement whyte),Mike Abdul,21,100290,0.04%,https://www.youtube.com/watch?v=4vr1G2U-Fkc
39,34,Venus,Faceless & Serøtonin,7,99446,-0.03%,https://www.youtube.com/watch?v=4WMD9WUgv9w
40,n/a,BIRDS OF A FEATHER,Billie Eilish,21,98120,n/a,https://www.youtube.com/watch?v=V9PVRfjEBTI
41,n/a,People,Libianca,56,97879,n/a,https://www.youtube.com/watch?v=rJWdfDPZ9Ck
42,42,Good God,mirabel_somi,24,97244,0.01%,https://www.youtube.com/watch?v=tno3lJPSzRo
43,48,REBEL HEART,IVE,3,96964,0.09%,https://www.youtube.com/watch?v=g36q0ZLvygQ
44,30,Constantly,Hyce  & BoyPee & Brown Joel,23,96760,-0.07%,https://www.youtube.com/watch?v=V3_IFDvYdho
45,38,Awuke,Davido & YG Marley,15,96518,0%,https://www.youtube.com/watch?v=ZzzvXGhq1JU
46,n/a,Beautiful Things,Benson Boone,25,95376,n/a,https://www.youtube.com/watch?v=Oa_RSwwpPaA
47,44,POE,Ruger & BNXN,39,95106,0%,https://www.youtube.com/watch?v=ADsF45DvzaA
48,50,Beamer,T.I BLAZE,3,94780,0.11%,https://www.youtube.com/watch?v=IyJqrVfPbz8
49,41,Fi Kan We Kan,BNXN & Rema,17,94553,-0.01%,https://www.youtube.com/watch?v=V2ozNa52QGY
50,12,JOY ON MY ACCOUNT,Lawrence Oyor,2,91659,-0.39%,https://www.youtube.com/watch?v=RoEDPdWEZiQ
51,n/a,Shutdown,Spyro & Phyno,21,91331,n/a,https://www.youtube.com/watch?v=q9DI2JgfISg
52,n/a,BLOOD ON THE DANCE FLOOR,ODUMODUBLVCK & Bloody Civilian & Wale,52,90919,n/a,https://www.youtube.com/watch?v=pr5YwkazQbw
53,46,DRIP,BABYMONSTER,14,90316,0.01%,https://www.youtube.com/watch?v=Zp-Jhuhq0bQ
54,35,Ifineme,Morravey,17,89402,-0.12%,https://www.youtube.com/watch?v=TzyMjLTjVMM
55,n/a,You Are Good,Nathaniel Bassey,1,88579,n/a,https://www.youtube.com/watch?v=Dtp6UgAgdt8
56,51,Whiplash,aespa,16,86924,0.03%,https://www.youtube.com/watch?v=jWQx2f-CErU
57,53,Port-harcourt,Vicoka,12,84834,0.03%,https://www.youtube.com/watch?v=myrBokHkO7M
58,58,Drowning (Live),WOODZ,17,82241,0.11%,https://www.youtube.com/watch?v=NbKH4iZqq1Y
59,43,Feel D Mood (feat. Tega boi dc),Outsyd DJ & Famous Pluto & Outsyd Eddie,15,82201,-0.14%,https://www.youtube.com/watch?v=IKx2lIhiXEU
60,64,Angel Numbers / Ten Toes,Chris Brown,24,81832,0.16%,https://www.youtube.com/watch?v=wWR0VD6qgt8
61,68,Intro (Going),Tml Vibez & Dj 4kerty,2,81630,0.2%,https://www.youtube.com/watch?v=B9DgdSEN5Jk
62,54,Vex For U (feat. Fireboy DML & Ayo Maff),Lil Kesh,9,77462,-0.05%,https://www.youtube.com/watch?v=mba6D1d3paQ
63,18,GBP,Central Cee & 21 Savage,3,74432,-0.39%,https://www.youtube.com/watch?v=_Cu9Df_9Zvg
64,59,Bad Girl (feat. Asake),Wizkid,11,73855,0.01%,https://www.youtube.com/watch?v=TvmIl_UXPvw
65,57,Piece of My Heart (feat. Brent Faiyaz),Wizkid,16,72866,-0.04%,https://www.youtube.com/watch?v=zr_sTaYTCnU
66,65,toxic till the end,ROSÉ,9,70649,0%,https://www.youtube.com/watch?v=eA0lHNZ1KCA
67,61,PUSH 2 START,Tyla,8,70422,-0.03%,https://www.youtube.com/watch?v=uLK2r3sG4lE
68,74,Me & U,Tems,23,69904,0.07%,https://www.youtube.com/watch?v=1JltlSJH5bY
69,n/a,Try (feat. Young Jonn),Lil Kesh,1,68922,n/a,https://www.youtube.com/watch?v=vyxZhaHBEV8
70,78,Rahama (Live),kaestrings,18,68409,0.07%,https://www.youtube.com/watch?v=KsRQqmzzOAc
71,70,let it breathe (feat. Roddy Ricch),Gunna,17,68053,0.01%,https://www.youtube.com/watch?v=-bu5zE6xOP8
72,52,Uncle Pele,Dxtiny,3,67330,-0.19%,https://www.youtube.com/watch?v=gLN0cwRnmdM
73,77,Troubled Mind (Live),Wizkid,11,66821,0.05%,https://www.youtube.com/watch?v=zm96T-_2edI
74,66,Obodo (feat. Phyno & Flavour),Larry Gaaga & Theresa Onuorah,14,66082,-0.04%,https://www.youtube.com/watch?v=lzhnih2QYS4
75,80,Uhh Yeahh,Asake,12,65730,0.08%,https://www.youtube.com/watch?v=KvByp6WpF2E
76,71,Casablanca (feat. Ayo Maff),Shoday,14,65709,-0.02%,https://www.youtube.com/watch?v=eormqAbWXJU
77,n/a,understand,Omah Lay,63,64709,n/a,https://www.youtube.com/watch?v=X3Ai6osw3Mk
78,83,luther,Kendrick Lamar & SZA,10,64695,0.1%,https://www.youtube.com/watch?v=XVveECQmiAk
79,56,Back Outside,Phyno & Cheque,10,64418,-0.16%,https://www.youtube.com/watch?v=0sUqUvcNZTA
80,92,สุดแต่ใจจะไขว่คว้า,LITTLE JOHN,2,64125,0.16%,https://www.youtube.com/watch?v=uF96Rb4MI8Y
81,89,HBP Remix,LLONA & Bella Shmurda,6,63121,0.13%,https://www.youtube.com/watch?v=HcIa_c3nJzg
82,n/a,All My Life (feat. J. Cole),Lil Durk,28,62151,n/a,https://www.youtube.com/watch?v=Z4N8lzKNfy4
83,90,Your Presence,mirabel_somi,4,61983,0.12%,https://www.youtube.com/watch?v=RjUA8Lddi44
84,91,Pidgin & English,BNXN,23,61145,0.1%,https://www.youtube.com/watch?v=K2XCMnB6984
85,81,Cry (shayo) (feat. Lojay),Majeeed,20,59486,-0.02%,https://www.youtube.com/watch?v=rQB9CuhY5CE
86,95,Lose Control (Live),Teddy Swims,6,59252,0.09%,https://www.youtube.com/watch?v=GZ3zL7kT6_c
